site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
SALM,SALM_03,SALM_03A,A,,,35.148,8.961,g2,12.45,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03B,B,,,33.828,8.841,h2,10.34,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03C,C,,,34.059,8.115,a3,5.64,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03D,D,,,34.133,8.234,b3,0.8,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03E,E,,,34.283,8.602,c3,1.49,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03F,F,,,34.961,8.097,d3,3.85,,,,,2,raw,ridgetop mineral soil
SALM,SALM_03,SALM_03G,G,,,33.895,8.386,e3,1.15,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02A,A,,,33.959,8.881,f3,5.15,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02B,B,,,34.641,8.036,g3,5.69,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02C,C,,,30.697,8.139,h3,3.58,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02D,D,,,33.624,8.458,a4,2.01,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02E,E,,,32.489,8.195,b4,2.45,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02F,F,,,34.074,8.492,c4,1.27,,,,,2,raw,ridgetop mineral soil
GOG,GOG_02,GOG_02G,G,,,34.848,8.828,d4,1.18,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_02,WOLF_02A,A,,,30.677,8.972,d5,9.61,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_02B,B,,,34.816,8.375,e5,6.2,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_02C,C,,,33.799,8.422,f5,3.68,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_02D,D,,,34.192,8.062,g5,2.24,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_02E,E,,,34.39,8.381,h5,1.59,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_O2F,F,,,34.7,8.522,a6,1.08,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_02,WOLF_02G,G,,,35.233,8.206,b6,1.01,,,,,2,raw,hillslope mineral soil
WOLF,WOLF_03,WOLF_03A,A,,,34.923,8.232,c6,6.99,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03B,B,,,33.909,8.095,d6,3.89,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03C,C,,,34.617,8.746,e6,2.63,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03D,D,,,34.388,8.069,f6,1.53,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03E,E,,,34.872,8.241,g6,2.21,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03F,F,,,34.438,8.571,h6,1.05,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_03,WOLF_03G,G,,,34.182,8.691,a8,1.33,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04A,A,,,34.22,8.186,b7,10.58,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04B,B,,,34.231,8.301,c7,4.36,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04C,C,,,34.01,8.925,d7,4.09,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04D,D,,,34.211,8.467,e7,2.37,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04E,E,,,34.35,8.757,f7,1.65,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04F,F,,,34.876,8.798,g7,1.53,,,,,2,raw,ridgetop mineral soil
WOLF,WOLF_04,WOLF_04G,G,,,34.789,8.959,h7,0.9,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05A,A,,,34.607,8.275,a8,4.05,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05B,B,,,34.762,8.156,b8,1.94,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05C,C,,,34.064,8.515,c8,1.75,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05D,D,,,34.207,8.038,d8,1.43,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05E,E,,,34.793,8.263,e8,1.12,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05F,F,,,34.501,8.407,f8,1.12,,,,,2,raw,ridgetop mineral soil
WORF,WORF_05,WORF_05G,G,,,35.469,8.064,g8,0.98,,,,,2,raw,ridgetop mineral soil
WORF,WORF_02,WORF_02A,A,,,35.112,8.103,h8,33.88,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02B,B,,,34.249,8.128,a9,32,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02C,C,,,34.439,8.405,b9,8.93,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02D,D,,,33.632,8.813,c9,4.19,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02E,E,,,33.508,8.302,d9,5.34,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02F,F,,,34.448,8.586,e9,5.58,,,,,2,raw,hillslope mineral soil
WORF,WORF_02,WORF_02G,G,,,33.89,8.318,f9,3.31,,,,,2,raw,hillslope mineral soil
WORF,WORF_03,WORF_03A,A,,,33.328,8.27,g9,6.91,,,,,2,raw,ridgetop mineral soil
WORF,WORF_03,WORF_03B,B,,,33.985,8.961,h9,4.84,,,,,2,raw,ridgetop mineral soil
WORF,WORF_03,WORF_03C,C,,,34.745,8.255,a10,3.19,,,,,2,raw,ridgetop mineral soil
